location,corr_coeff_min,negative_correlation_time_delay,corr_coeff_max,positive_correlation_time_delay,signal_length,column_name
Cuba,-0.9228911594668032,0,0.17062340274590046,-539,624,C3_Flag
Fiji,-0.8332691914989061,28,0.09738153029847811,-511,624,H6_Flag
Cuba,-0.8245156613492571,544,0.18851536453068132,-1,624,C3_Cancel public events
Australia,-0.821778089846246,590,0.09595186834942943,-1,624,H1_Public information campaigns
Cuba,-0.8137720680956336,0,0.19219891447143161,-507,624,C4_Flag
Cuba,-0.813691846192809,541,0.19256259943274223,-1,624,C7_Restrictions on internal movement
Japan,-0.8012525161546797,579,0.14292011818353498,-1,624,H1_Public information campaigns
Zimbabwe,-0.7970056868068413,388,0.0986978045284931,-34,624,C3_Flag
Australia,-0.7955873889678186,592,0.12242141012978457,-1,624,C8_International travel controls
Slovakia,-0.7856828886486911,27,0.48997723376972363,-180,624,C7_Flag
Thailand,-0.7825846377493535,126,0.14483476608558218,-1,624,E1_Flag
India,-0.779442458952163,458,0.2265138699979827,-1,624,H1_Public information campaigns
India,-0.773534123064801,457,0.23975251976765996,-1,624,C3_Cancel public events
Malaysia,-0.7735086120036947,543,0.22195012576167678,-1,624,H8_Protection of elderly people
Iraq,-0.7672570316808713,0,0.4434562209750609,-429,624,E1_Flag
Iraq,-0.7620591149051051,0,0.45460953066471654,-440,624,H6_Flag
Cuba,-0.7574201901882271,532,0.28314050762244025,-1,624,H6_Facial Coverings
Lithuania,-0.7545810023770865,77,0.2551849224785101,-110,624,C3_Flag
Vietnam,-0.752934532496437,595,0.07249338605483002,-1,624,H1_Public information campaigns
Rwanda,-0.7516089043333843,8,0.18640332664800427,-518,624,C3_Cancel public events
Uruguay,-0.7504522470570915,455,0.20500477826962032,-1,624,H1_Public information campaigns
Qatar,-0.7497271123084683,116,0.321336677078597,-1,624,H3_Contact tracing
Malaysia,-0.743388009158268,557,0.2287912877867823,-1,624,C3_Cancel public events
Myanmar,-0.7394672899473633,0,0.1362968700153353,-547,624,C4_Flag
Cuba,-0.7365607233675371,526,0.21432733764541587,-1,624,E2_Debt/contract relief
Nepal,-0.7363759810723511,486,0.1426387373352733,-1,624,H1_Public information campaigns
Malaysia,-0.7353496000100693,532,0.2378633899406767,-1,624,E2_Debt/contract relief
Malaysia,-0.7347021814995052,43,0.24524827267163518,-462,624,H3_Contact tracing
Ireland,-0.7341804447237812,109,0.11468684245818248,-208,624,H8_Flag
Saudi Arabia,-0.7309916908477783,134,0.3128976632839752,-1,624,C3_Cancel public events
Denmark,-0.7305249321692607,7,0.21284308199785978,-162,624,C6_Flag
Cuba,-0.7292316978195331,544,0.07699809448235292,-1,624,stringency_index
Timor,-0.7262900791905507,0,0.18846282829508834,-483,624,H3_Contact tracing
Saudi Arabia,-0.725433862259528,134,0.4328003336013597,-1,624,C4_Restrictions on gatherings
Bahrain,-0.7227261254886537,470,0.2671896514838607,-1,624,C1_Flag
Thailand,-0.7215038945562746,554,0.29961586368722865,-1,624,stringency_index
Qatar,-0.7204970637673752,112,0.5775091549957038,-1,624,stringency_index
Malaysia,-0.7195181408749641,527,0.24487780544807328,-1,624,E1_Income support
Fiji,-0.7185804391173475,538,0.12573939494635938,-1,624,C6_Stay at home requirements
Saudi Arabia,-0.716387242085939,28,0.24185116370285784,-97,624,C2_Flag
Bahrain,-0.715487022053206,454,0.27991462579763415,-1,624,C2_Workplace closing
Indonesia,-0.715168528162573,539,0.24800987347940595,-1,624,C3_Cancel public events
Malaysia,-0.7147731884396853,525,0.24770982452055423,-1,624,H2_Testing policy
China,-0.7114928690592344,24,0.028516420485450698,-563,624,H1_Flag
Saudi Arabia,-0.7112242258286466,135,0.4596076301434754,-1,624,C8_International travel controls
Zimbabwe,-0.7105675193644104,199,0.05634389762204242,-48,624,C2_Flag
Qatar,-0.709196055057134,109,0.44976714941116247,-1,624,C4_Restrictions on gatherings
Saudi Arabia,-0.7084205198497321,59,0.25261831513546323,-68,624,H8_Flag
Saudi Arabia,-0.7077370989597859,134,0.28296907228697327,-1,624,H2_Testing policy
Rwanda,-0.7061138269540388,157,0.08643412454703796,-381,624,C1_Flag
Saudi Arabia,-0.705537571642457,135,0.32999398785340084,-1,624,C1_School closing
Fiji,-0.7045413518859099,537,0.12943836784833682,-1,624,C1_Flag
Qatar,-0.7043044226685736,109,0.3668348292800245,-1,624,E1_Income support
Qatar,-0.7043044226685736,109,0.3668348292800245,-1,624,H1_Public information campaigns
Malaysia,-0.7034581494707342,563,0.3932165889848814,-1,624,H6_Facial Coverings
Denmark,-0.7029727155367098,88,0.1776482153892113,-231,624,H1_Flag
Rwanda,-0.7018352874171909,188,0.10656512826534338,-349,624,C2_Flag
Panama,-0.7001290759489902,323,0.35711117702907,-1,624,C3_Cancel public events
Liechtenstein,-0.7001152331460826,293,0.1728555528907506,-1,624,H8_Protection of elderly people
Liechtenstein,-0.7001152331460826,293,0.1728555528907506,-1,624,H1_Public information campaigns
Thailand,-0.6986829460009198,559,0.011213906008767014,-576,624,H2_Testing policy
Iran,-0.6982997618748643,558,0.30491125217481546,-1,624,C7_Restrictions on internal movement
Bahrain,-0.6978767736425707,440,0.347229864241463,-1,624,E1_Income support
Namibia,-0.697571770763196,334,0.12024251821044864,-53,624,C2_Flag
Denmark,-0.6958315429702772,0,0.15409866112533396,-169,624,C3_Flag
India,-0.6925053777888117,455,0.2064876591324852,-1,624,stringency_index
Panama,-0.6913588059174918,324,0.36787204405205065,-1,624,C1_School closing
Rwanda,-0.6904365050590446,534,0.1929975575906052,-1,624,E2_Debt/contract relief
Fiji,-0.689827840509821,534,0.13306751780559034,-1,624,E1_Income support
Nepal,-0.6894491771910226,35,0.1655420668901308,-448,624,C7_Flag
Argentina,-0.6886536161497123,0,0.22846910461180736,-415,624,C1_Flag
Trinidad and Tobago,-0.6877347713248239,211,0.21592276799205454,-1,624,E1_Flag
Myanmar,-0.6873265879016076,0,0.15925170600625974,-567,624,C1_Flag
Timor,-0.6841697703506399,14,0.20946003147463169,-431,624,C6_Flag
Bahrain,-0.6836001885122867,461,0.33010775463948433,-1,624,H2_Testing policy
Malaysia,-0.6832509024128491,552,0.4178215438342248,-1,624,stringency_index
United States,-0.6825524823166793,316,0.367634575197897,-1,624,C4_Restrictions on gatherings
Fiji,-0.6818629521475964,538,0.058155661348885536,-1,624,H3_Contact tracing
Bangladesh,-0.6811816335762524,531,0.3041202075200543,-1,624,C1_School closing
Fiji,-0.6804333265221573,551,0.1436230815158809,-28,624,C8_International travel controls
Saudi Arabia,-0.6795471493087079,38,0.30365671888611334,-97,624,C6_Flag
India,-0.6787772006910751,454,0.25290321197399707,-1,624,C4_Restrictions on gatherings
Paraguay,-0.6768434974817836,460,0.3444519636706536,-1,624,H1_Public information campaigns
Nigeria,-0.6761372350207439,289,0.22044329437616972,-80,624,C3_Flag
Morocco,-0.6753175901842668,255,0.16367629872394368,-271,624,C4_Flag
Morocco,-0.6753175901842668,255,0.16367629872394368,-271,624,C2_Flag
Thailand,-0.6750217131279783,530,0.024354768618253055,-609,624,C4_Flag
Qatar,-0.6748775924848966,113,0.5652677688662886,-3,624,C2_Workplace closing
Ireland,-0.6746740869218215,101,0.13707113452877567,-223,624,C5_Flag
Mongolia,-0.6738041611633158,0,0.18396443650762578,-469,624,H3_Contact tracing
Vietnam,-0.6728684184327786,548,0.26477587583961715,-1,624,H6_Facial Coverings
Nigeria,-0.6724908414364764,344,0.2564185941436062,-1,624,C4_Restrictions on gatherings
Panama,-0.6700130070247463,318,0.3852736560793137,-1,624,H1_Public information campaigns
Timor,-0.6698081339747074,15,0.13865337761443608,-434,624,C3_Flag
Cuba,-0.6694404782656883,540,0.26736868180971063,-1,624,C1_School closing
Uruguay,-0.669325161802125,197,0.30621941479586323,-75,624,C6_Stay at home requirements
Guatemala,-0.6677008778975874,64,0.25972452394971174,-457,624,C1_Flag
Fiji,-0.6676321150611674,538,0.02284305324891387,-582,624,H8_Protection of elderly people
Indonesia,-0.6662131864698483,521,0.28426663567200305,-1,624,E2_Debt/contract relief
Vietnam,-0.6654951736841638,548,0.28946809178315297,-1,624,C4_Restrictions on gatherings
Thailand,-0.6648839780014572,558,0.0950507383527535,-1,624,C8_International travel controls
Tunisia,-0.6647958787521092,6,0.15795270119982655,-532,624,C5_Flag
Tunisia,-0.6647958787521092,6,0.15795270119982655,-532,624,C3_Flag
Colombia,-0.6644218409384065,468,0.4451833227643027,-1,624,E1_Income support
Thailand,-0.6639774749328194,530,0.023956292746178446,-609,624,C3_Flag
Paraguay,-0.6624744063442518,466,0.165974962614127,-1,624,C6_Stay at home requirements
Qatar,-0.6621716229816066,113,0.4595943291355636,-1,624,C3_Cancel public events
Panama,-0.6619494863412069,323,0.24442261363929993,-1,624,stringency_index
Qatar,-0.6618349118056273,113,0.5800270702967804,-1,624,C5_Close public transport
Nigeria,-0.6614816783337771,341,0.30156083432554304,-1,624,stringency_index
Belgium,-0.661369700174069,13,0.12383193686600323,-132,624,H6_Flag
Vietnam,-0.6605652932600847,592,0.010330943128690734,-595,624,C8_International travel controls
Saudi Arabia,-0.6601525445941371,107,0.33782255242273057,-34,624,H6_Facial Coverings
Nigeria,-0.6595418469056843,341,0.19453281726379978,-1,624,C8_International travel controls
Malaysia,-0.6586536269802366,546,0.3151689705166551,-1,624,C2_Workplace closing
Fiji,-0.658519833895858,538,0.03160752820044374,-462,624,H2_Testing policy
Indonesia,-0.6578549517793959,531,0.31063924578268026,-1,624,stringency_index
Colombia,-0.6577046791445373,497,0.3636248193835423,-1,624,H1_Flag
India,-0.6569879601430371,455,0.09074705733402635,-1,624,C8_International travel controls
Colombia,-0.6564527359815207,489,0.38718473967822564,-1,624,E2_Debt/contract relief
Turkey,-0.6563926233087265,243,0.17713807855897645,-1,624,C3_Flag
Iran,-0.654704907409494,565,0.3024028326413619,-1,624,C3_Cancel public events
Panama,-0.6544882438952426,322,0.4850194799099323,-1,624,C4_Restrictions on gatherings
Belgium,-0.654444012065767,130,0.19208409120522146,-124,624,C1_Flag
Laos,-0.6536493101900247,99,0.05403192121575508,-483,624,C7_Flag
Lithuania,-0.6532333077867415,55,0.15815471636770065,-116,624,H6_Flag
Lithuania,-0.6532333077867415,55,0.15815471636770065,-116,624,C4_Flag
Lithuania,-0.6532333077867415,55,0.15815471636770065,-116,624,C2_Flag
Mongolia,-0.6529985134873453,1,0.15625009367284418,-490,624,C8_International travel controls
Rwanda,-0.6504985400702339,532,0.19539423654597254,-1,624,C4_Flag
India,-0.6503375691563957,458,0.2512973469356182,-1,624,C1_School closing
Bangladesh,-0.6492923797575301,531,0.2040954100146055,-1,624,C3_Cancel public events
Ukraine,-0.6490446743136454,133,0.516125361357561,-110,624,C4_Flag
Turkey,-0.649008831316258,51,0.18369773797565342,-132,624,C5_Flag
Nigeria,-0.648153748520243,343,0.2081428511953097,-1,624,C3_Cancel public events
Uruguay,-0.6464869356803667,407,0.3123387697983548,-1,624,H6_Facial Coverings
Indonesia,-0.6459688539177346,520,0.29295718703222917,-1,624,H6_Facial Coverings
Nigeria,-0.645927683708956,340,0.29830118848069326,-1,624,C6_Stay at home requirements
Saudi Arabia,-0.6457893988906898,121,0.39107452440135926,-1,624,E1_Income support
Japan,-0.6454421343830206,568,0.06855250611747843,-466,624,H8_Protection of elderly people
Rwanda,-0.6452611660066646,536,0.1659761765223044,-1,624,C6_Stay at home requirements
Guatemala,-0.6450934571722015,558,0.26567669888057843,-1,624,H1_Public information campaigns
Argentina,-0.6446409164525156,459,0.4522081825955873,-1,624,H6_Facial Coverings
Qatar,-0.6436267283765289,110,0.49783655896973933,-335,624,C6_Stay at home requirements
Saudi Arabia,-0.6433804892564602,123,0.40210931602961936,-1,624,E2_Debt/contract relief
Bahrain,-0.6428202284930945,433,0.3057356795228005,-1,624,H6_Facial Coverings
India,-0.6421280343636626,444,0.28995709451799623,-1,624,H6_Facial Coverings
Fiji,-0.6419759508855565,534,0.16394514219500836,-1,624,E2_Debt/contract relief
Thailand,-0.641953983586766,558,0.07182597059729641,-420,624,H1_Public information campaigns
Jordan,-0.6419456934507044,412,0.22116902637557675,-1,624,H1_Public information campaigns
Portugal,-0.641446420048033,328,0.24096891225317318,-1,624,C3_Flag
Indonesia,-0.640232053354128,519,0.29476507101906463,-1,624,C4_Restrictions on gatherings
Liechtenstein,-0.640131130305341,299,0.14395792484363182,-127,624,stringency_index
Portugal,-0.6393554314690738,335,0.2299740329610715,-1,624,C3_Cancel public events
Bahrain,-0.6392204506723677,456,0.21298455492941487,-6,624,stringency_index
